Thread ID: 15489480
Fiber ID: 21976728
Total: 100.086000
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.005     0.003     0.000     0.002      632   <Module::Gubby::Components::Position2D>#extend_object 
  0.00      0.003     0.003     0.000     0.000     3160   Array#first 
  0.00      0.003     0.003     0.000     0.000      632   <Class::Proc>#new 
  0.00      0.003     0.003     0.000     0.000      632   Gosu::Color#red= 
  0.00      0.002     0.002     0.000     0.000     5913   Array#count 
  0.00      0.002     0.002     0.000     0.000     3793   Fixnum#- 
  0.00     11.139     0.002     0.000    11.137     7590  *Class#new 
  0.00      0.053     0.002     0.000     0.051      592   Gubby::GameEngine#remove_entity 
  0.00      0.001     0.001     0.000     0.000      633   Kernel#nil? 
  0.00      0.001     0.001     0.000     0.000      636   <Class::BasicObject>#allocate 
  0.00      0.062     0.001     0.000     0.061      632   Gubby::GameEntity#add_component 
  0.00      0.054     0.001     0.000     0.053      592   Gubby::GameEntity#destroy 
  0.00      0.001     0.001     0.000     0.000      633   <Class::Gosu::Image>#allocate 
  0.00    100.086     0.000     0.000   100.086        1   Global#[No method] 
  0.00     99.842     0.000     0.000    99.842    17767  *Gosu::Window#show 
  0.00      0.000     0.000     0.000     0.000        1   Array#reject 
  0.00      0.063     0.000     0.000     0.063      632   Gubby::GameEntity#initialize 
  0.00      0.000     0.000     0.000     0.000      632   Gosu::Color#green= 
  0.00      0.000     0.000     0.000     0.000      632   Gosu::Color#blue= 
  0.00      0.003     0.000     0.000     0.003      632   <Module::Update>#extend_object 
  0.00      0.000     0.000     0.000     0.000     1265   <Class::Range>#allocate 
  0.00      0.000     0.000     0.000     0.000      632   NilClass#nil? 
  0.00      0.001     0.000     0.000     0.001        1   MyWindow#button_down 
  0.00      0.001     0.000     0.000     0.001        1   PopSystem#button_down 
  0.00      0.000     0.000     0.000     0.000      632   Gosu::Window#width 
  0.00      0.000     0.000     0.000     0.000     1342   Gosu::Image#height 
  0.00      0.000     0.000     0.000     0.000        2   Array#sample 
  0.00      0.000     0.000     0.000     0.000        1   Gubby::GameEngine#initialize 
  0.00      0.000     0.000     0.000     0.000        1   PopSystem#initialize 
  0.00      0.000     0.000     0.000     0.000        1   UpdateSystem#initialize 
  0.00      0.000     0.000     0.000     0.000        3   Gubby::Systems::GameSystem#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Gubby::Systems::GosuRenderSystem#initialize 
  0.00      0.001     0.000     0.000     0.001      632   <Module::Poppable>#extend_object 
  0.00      0.000     0.000     0.000     0.000        1   Gosu::Window#caption= 
  0.00      0.000     0.000     0.000     0.000        1   Gosu::Sample#play 
  0.00      0.244     0.000     0.000     0.244        1   MyWindow#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gosu::Window>#allocate 
  0.00      0.000     0.000     0.000     0.000      632   BasicObject#initialize 
  0.00      0.000     0.000     0.000     0.000      633   String#to_str 

* indicates recursively called methods
